,id,work_exp(in years),skill1,skill2
15135,5681,9,Engineer,Data Analytics
15136,5682,8,Data Science,Data Analytics
15138,5683,5,Computer Vision,Data Analytics
15140,5684,8,Data Science,Management
15146,5685,6,Machine Learning,Deep Learning
15147,5686,7,Statistics,Data Analytics
15152,5687,10,Data Science,Data Analytics
15156,5688,8,DBMS,Data Analytics
15157,5689,7,Statistics,Data Analytics
15158,5690,3,Machine Learning,Data Analytics
15160,5691,6,Data Science,Data Analytics
15161,5692,10,Statistics,Data Analytics
15162,5693,10,Data Science,Artificial Intelligence
15163,5694,9,Data Science,Research
15166,5695,0,Data Science,Data Analytics
15167,5696,7,Data Science,Data Analytics
15168,5697,0,Data Science,Data Analytics
15169,5698,0,Product Management,Data Analytics
15172,5699,0,Data Science,Artificial Intelligence
15182,5700,1,Artificial intelligence,Data Analytics
15189,5701,4,DBMS,Data engineer
15191,5702,6,PowerBI,Data Analytics
15193,5703,6,Data Science,Data Analytics
15194,5704,9,Data Science,Data Analytics
15195,5705,9,Data Science,Data Analytics
15198,5706,10,Data Science,Data Analytics
15200,5707,0,Data Science,Management
15201,5708,10,Data Science,Data Analytics
15202,5709,9,Data Science,Data Analytics
15203,5710,1,Statistics,Data engineer
15205,5711,1,DBMS,Data Analytics
15207,5712,10,Data Science,Data Analytics
15212,5713,4,Data Science,Artificial Intelligence
15214,5714,7,Data Science,Data Analytics
15217,5715,0,Data Science,Data Analytics
15218,5716,7,Data Science,Data Analytics
15220,5717,10,Executive,science and numerics
15228,5718,9,Computer Vision,Management
15229,5719,7,Machine Learning,Management
15230,5720,8,Data Science,Deep Learning
15236,5721,10,PowerBI,Data Analytics
15240,5722,10,Data Science,Data Analytics
15241,5723,4,Data Science,Hadoop-Apache
15243,5724,9,Data Science,Artificial Intelligence
15244,5725,8,Machine Learning,Data Analytics
15245,5726,1,Data Science,Data Analytics
15246,5727,0,Machine Learning,Data Analytics
15248,5728,6,Data Science,Data Analytics
15251,5729,10,Machine Learning,Data Science
15253,5730,4,Data Science,Data Analytics
15256,5731,5,DBMS,Data Analytics
15258,5732,8,Data Science,Data Analytics
15261,5733,10,Data Science,Data Analytics
15263,5734,7,Statistics,Data Analytics
15265,5735,8,Data Science,Artificial Intelligence
15266,5736,6,Data Science,Hadoop-Apache
15267,5737,1,Data Science,Data Analytics
15268,5738,2,Statistics,Data Analytics
15270,5739,6,Research,Research
15271,5740,10,Artificial intelligence,Management
15275,5741,8,Statistics,Data Analytics
15276,5742,2,Executive,Management
15279,5743,10,Machine Learning,Data Analytics
15280,5744,4,Data Science,Data Analytics
15281,5745,10,Management,Data Analytics
15282,5746,7,Data Science,Data Analytics
15286,5747,6,Machine Learning,Data Science
15287,5748,9,Data Science,Data Analytics
15289,5749,10,Data Science,Data Analytics
15291,5750,10,Statistics,Data Analytics
15293,5751,2,Data Science,Data Analytics
15302,5752,2,Artificial intelligence,Data Analytics
15309,5753,8,Statistics,Data Analytics
15323,5754,5,Data Science,Management
15325,5755,3,Data Science,Infrastructure
15326,5756,2,Data Science,Artificial Intelligence
15327,5757,6,Data engineer,Artificial Intelligence
15328,5758,7,Executive,Data Science
15330,5759,8,DBMS,Data Analytics
15332,5760,6,PowerBI,Data Analytics
15333,5761,10,Research,Data Analytics
15338,5762,7,Statistics,Data Analytics
15339,5763,2,Data Science,Data Analytics
15340,5764,9,Cloud computing,Data Analytics
15341,5765,2,Data engineer,Data Science
15347,5766,3,Data Science,Data Analytics
15350,5767,9,Data Science,Data Analytics
15351,5768,9,PowerBI,Hadoop-Apache
15352,5769,6,Machine Learning,Data Analytics
15353,5770,5,Data Science,Data Analytics
15354,5771,0,Machine Learning,Data Analytics
15356,5772,9,Data Science,Data Analytics
15359,5773,3,Data Science,Data Analytics
15363,5774,3,Machine Learning,Data Analytics
15364,5775,6,Research,Artificial Intelligence
15366,5776,3,Data Science,Data Analytics
15368,5777,4,Statistics,Deep Learning
15369,5778,4,Executive,Data Analytics
15372,5779,0,Computer Vision,Artificial Intelligence
15375,5780,1,Data Science,Data Analytics
15377,5781,0,Data Science,Hadoop-Apache
15378,5782,0,Data Science,Data Analytics
15380,5783,1,Executive,science and numerics
15382,5784,6,Statistics,Data Analytics
15383,5785,0,Machine Learning,Data Analytics
15384,5786,4,Data engineer,Data Analytics
15386,5787,4,Executive,Data Analytics
15388,5788,7,Data Science,Data Analytics
15389,5789,8,Data Science,Data Analytics
15397,5790,3,Data Science,Data Analytics
15399,5791,10,Machine Learning,Data Analytics
15400,5792,10,Executive,Software Development
15401,5793,7,Data Science,Data Analytics
15405,5794,8,Cloud computing,Data Analytics
15406,5795,4,Finance,Data Analytics
15410,5796,4,Machine Learning,science and numerics
15414,5797,0,Machine Learning,Data Analytics
15416,5798,8,Machine Learning,Data Analytics
15417,5799,7,Management,Data Analytics
15418,5800,3,Data Science,Data Analytics
15421,5801,5,Data Science,Software Development
15422,5802,7,Executive,Data Analytics
15426,5803,4,Data Science,Artificial Intelligence
15427,5804,3,Data Science,Data Science
15428,5805,4,DBMS,Data Analytics
15429,5806,5,Data Science,Data Analytics
15431,5807,3,Executive,Data Analytics
15432,5808,0,Data Science,Management
15434,5809,8,Data Science,Data Analytics
15438,5810,10,Engineer,Management
15441,5811,4,Data engineer,Data Analytics
15442,5812,3,Data Science,Data Analytics
15444,5813,10,Machine Learning,Artificial Intelligence
15446,5814,5,Machine Learning,Data Analytics
15447,5815,2,Executive,Data Analytics
15450,5816,6,Data Science,Data Analytics
15453,5817,2,Data Science,Data Analytics
15455,5818,3,Data Science,Data Analytics
15461,5819,6,Data Science,Data Analytics
15464,5820,5,Machine Learning,Data Analytics
15465,5821,9,Data Science,Artificial Intelligence
15467,5822,6,Data Science,Data Analytics
15469,5823,0,Data Science,Data Analytics
15471,5824,0,Data Science,Data Analytics
15472,5825,4,Data Science,Management
15478,5826,4,Data Science,Data Analytics
15480,5827,7,Data Science,Data Analytics
15481,5828,1,Machine Learning,Data Analytics
15483,5829,5,Research,Hadoop-Apache
15484,5830,0,Executive,Data Analytics
15485,5831,5,Product Management,Data Science
15489,5832,3,Data Science,Data Analytics
15490,5833,10,DBMS,Data Analytics
15491,5834,4,Data Science,Management
15492,5835,9,Executive,Data Analytics
15493,5836,2,Data Science,Data Analytics
15494,5837,0,PowerBI,Data Analytics
15495,5838,3,Data Science,Data Analytics
15496,5839,5,Research,Data Analytics
15498,5840,3,Statistics,Data Analytics
15500,5841,10,Data Science,Data Analytics
15501,5842,9,Data Science,Data engineer
15505,5843,3,Data Science,science and numerics
15509,5844,9,Data Science,Data Analytics
15510,5845,7,Executive,Management
15511,5846,10,PowerBI,Data Analytics
15515,5847,10,Data Science,Data Analytics
15517,5848,0,Statistics,Management
15519,5849,1,DBMS,Data Analytics
15520,5850,4,Management,Data Analytics
15521,5851,5,PowerBI,Artificial Intelligence
15523,5852,8,Management,Data Analytics
15524,5853,1,Statistics,Data Analytics
15526,5854,2,Management,science and numerics
15528,5855,5,Machine Learning,Data Analytics
15529,5856,4,Cloud computing,Hadoop-Apache
15532,5857,0,Machine Learning,Data Analytics
15533,5858,1,DBMS,Artificial Intelligence
15535,5859,5,Data Science,Data Analytics
15538,5860,8,Data Science,Research
15541,5861,7,Data Science,Engineer
15545,5862,1,Computer Vision,Data engineer
15547,5863,8,Executive,Research
15549,5864,8,Data Science,Data Analytics
15550,5865,7,Data Science,Data Analytics
15551,5866,0,Data Science,Data Analytics
15552,5867,3,DBMS,Data Analytics
15554,5868,9,Machine Learning,Management
15555,5869,4,Data Science,Data Analytics
15565,5870,2,Machine Learning,Data Analytics
15566,5871,8,Data Science,Data Analytics
15567,5872,1,Machine Learning,Data engineer
15571,5873,1,Data Science,science and numerics
15572,5874,7,Data Science,Data engineer
15574,5875,7,Data Science,Management
15577,5876,10,Data Science,Data Analytics
15578,5877,0,Data Science,Data Analytics
15580,5878,7,DBMS,Data Analytics
15581,5879,10,Data Science,Data Analytics
15582,5880,8,Statistics,Data Analytics
15583,5881,4,Machine Learning,science and numerics
15585,5882,7,Data Science,Data Analytics
15586,5883,9,Data engineer,Artificial Intelligence
15588,5884,7,Statistics,Artificial Intelligence
15589,5885,6,Data Science,Data Analytics
15590,5886,10,Data Science,Data Analytics
15592,5887,5,Research,Data Analytics
15597,5888,9,Machine Learning,Data Analytics
15598,5889,0,Machine Learning,Data Analytics
15599,5890,6,Data Science,Artificial Intelligence
15600,5891,6,Data Science,Management
15603,5892,10,Statistics,Artificial Intelligence
15605,5893,0,Data engineer,Data Analytics
15606,5894,4,Machine Learning,Data Science
15608,5895,6,Data Science,Data Analytics
15609,5896,2,Data Science,management
15610,5897,6,Data Science,Data Analytics
15615,5898,7,Statistics,Data Analytics
15616,5899,1,Data Science,Data Analytics
15617,5900,7,Data Science,Data Analytics
15618,5901,2,Data Science,Data Analytics
15620,5902,2,Machine Learning,Artificial Intelligence
15621,5903,5,Executive,science and numerics
15623,5904,5,Machine Learning,Data Analytics
15624,5905,1,Statistics,Data Analytics
15625,5906,2,PowerBI,Data Analytics
15627,5907,6,Artificial intelligence,Data Analytics
15630,5908,9,Data Science,Data Analytics
15633,5909,4,Executive,Data Analytics
15637,5910,1,Marketing,Artificial Intelligence
15638,5911,5,Data Science,Data Analytics
15640,5912,1,Machine Learning,Data Analytics
15641,5913,3,Data Science,Data Analytics
15642,5914,4,Data Science,Data Analytics
15644,5915,3,Artificial intelligence,Data Analytics
15650,5916,9,PowerBI,Data Science
15651,5917,3,Data Science,Data Analytics
15652,5918,5,Statistics,Management
15653,5919,7,Data Science,Data Analytics
15657,5920,0,Artificial intelligence,Data Analytics
15658,5921,7,PowerBI,Data Analytics
15660,5922,10,Data Science,Research
15663,5923,10,Research,Management
15665,5924,4,Executive,Data Analytics
15667,5925,3,Management,Data Analytics
15668,5926,6,Data Science,Data Analytics
15672,5927,5,Data Science,Artificial Intelligence
15673,5928,4,Data Science,Data Analytics
15674,5929,1,Data Science,Data Analytics
15675,5930,9,Data Science,Data Analytics
15676,5931,5,Research,Engineer
15677,5932,7,Executive,Data Analytics
15678,5933,7,Machine Learning,Data Analytics
15682,5934,8,Management,Data Analytics
15687,5935,7,Data Science,Data Analytics
15688,5936,0,Machine Learning,Management
15691,5937,10,Data Science,Data Analytics
15693,5938,2,Statistics,science and numerics
15694,5939,6,Data Science,Management
15695,5940,5,Artificial intelligence,Data Analytics
15697,5941,8,DBMS,Data Analytics
15702,5942,8,Data Science,Data Analytics
15703,5943,3,Executive,Management
15705,5944,5,Research,Data Analytics
15707,5945,8,Machine Learning,Deep Learning
15708,5946,4,Product Management,Data Analytics
15710,5947,2,Machine Learning,Software Development
15711,5948,4,Machine Learning,Data Analytics
15712,5949,7,Data Science,Artificial Intelligence
15713,5950,1,Machine Learning,Management
15715,5951,3,DBMS,Data Analytics
15716,5952,4,PowerBI,Artificial Intelligence
15719,5953,3,Executive,Data Analytics
15720,5954,10,Research,Data Analytics
15722,5955,8,Data Science,Data Analytics
15723,5956,0,Executive,Data Analytics
15725,5957,6,Data engineer,Management
15730,5958,3,Data Science,Artificial Intelligence
15731,5959,3,Data Science,Data Analytics
15732,5960,5,Statistics,Data Analytics
15734,5961,5,Executive,Data Science
15735,5962,0,Machine Learning,Research
15737,5963,3,Data Science,Data Analytics
15738,5964,6,Data Science,Data Analytics
15739,5965,5,Data Science,Data Analytics
15740,5966,9,PowerBI,Data Analytics
15742,5967,4,Management,Data Science
15744,5968,1,Research,Data Analytics
15746,5969,8,DBMS,Data Analytics
15751,5970,1,Data Science,Data Analytics
15752,5971,5,Machine Learning,Data Analytics
15754,5972,0,Executive,Artificial Intelligence
15755,5973,2,Machine Learning,Data Analytics
15757,5974,4,Research,Data Analytics
15758,5975,2,Executive,Data Analytics
15763,5976,6,Data Science,Data Analytics
15766,5977,10,Research,Data Analytics
15768,5978,4,Data engineer,Software Development
15769,5979,8,Data Science,Data Analytics
15772,5980,7,Data Science,Data Analytics
15773,5981,9,Data Science,Data Analytics
15774,5982,0,Data Science,Management
15775,5983,5,Data Science,Data Analytics
15779,5984,0,Statistics,Data Analytics
15780,5985,1,Data Science,Data Analytics
15781,5986,4,Machine Learning,Data Analytics
15782,5987,4,Data Science,Data Analytics
15790,5988,0,Data Science,Data engineer
15791,5989,6,Statistics,Data Analytics
15794,5990,0,Data Science,Data Science
15797,5991,8,Data Science,science and numerics
15800,5992,8,Data Science,Data Analytics
15802,5993,5,Data Science,Data Analytics
15808,5994,3,Machine Learning,Data Science
15809,5995,0,Statistics,Data Analytics
15810,5996,8,Data Science,Artificial Intelligence
15811,5997,10,Data Science,Management
15812,5998,0,Data Science,Data Analytics
15813,5999,8,Computer Vision,Management
15816,6000,4,Data Science,Data Analytics
15817,6001,6,Data Science,Artificial Intelligence
15818,6002,6,Management,Infrastructure
15820,6003,8,Executive,Data Science
15823,6004,4,Machine Learning,Data Analytics
15832,6005,1,Statistics,Data Analytics
15834,6006,2,Engineer,Data Analytics
15835,6007,3,Data Science,Data Analytics
15839,6008,3,DBMS,Engineer
15840,6009,10,Cloud computing,Data engineer
15841,6010,9,Data Science,Data Analytics
15844,6011,9,Computer Vision,Deep Learning
15847,6012,3,Data Science,Data Analytics
15850,6013,6,Data Science,Data Science
15851,6014,6,Data Science,Data Analytics
15852,6015,0,Data Science,Data Analytics
15855,6016,9,Data Science,Data Analytics
15857,6017,6,Data Science,Data Analytics
15859,6018,0,Data Science,Data Analytics
15862,6019,1,Finance,Data Analytics
15865,6020,8,Data Science,Data Analytics
15866,6021,2,Statistics,Artificial Intelligence
15868,6022,0,Applied Science,Management
15874,6023,3,Finance,Data Analytics
15879,6024,0,Data Science,Artificial Intelligence
15880,6025,2,Data Science,Data Analytics
15882,6026,5,Executive,management
15883,6027,10,Machine Learning,Research
15886,6028,5,Data Science,Data Analytics
15896,6029,9,Data Science,Research
15897,6030,3,PowerBI,Data Analytics
15900,6031,7,Machine Learning,Data Analytics
15904,6032,2,Executive,Management
15905,6033,6,Data Science,Data Science
15906,6034,10,Data Science,Data Analytics
15909,6035,0,Machine Learning,Data Analytics
15912,6036,1,Data Science,Data Analytics
15913,6037,10,Data Science,Data Analytics
15915,6038,8,Data Science,Artificial Intelligence
15916,6039,0,Finance,Data Analytics
15919,6040,1,Data Science,Data Analytics
15921,6041,2,Data Science,Artificial Intelligence
15924,6042,8,Statistics,Deep Learning
15925,6043,5,Machine Learning,Hadoop-Apache
15927,6044,5,Statistics,Data Analytics
15929,6045,3,Data Science,Data Science
15932,6046,3,Data Science,Data Analytics
15933,6047,10,Research,Data Analytics
15936,6048,1,Data Science,Management
15938,6049,0,Statistics,Data Analytics
15939,6050,5,Data Science,Data Analytics
15943,6051,4,Data Science,Data Analytics
15947,6052,2,Data Science,Hadoop-Apache
15952,6053,7,Data Science,Artificial Intelligence
15954,6054,4,Data Science,Data Analytics
15956,6055,0,Machine Learning,Infrastructure
15958,6056,6,Data Science,Data Analytics
15959,6057,4,Data Science,Data Analytics
15961,6058,10,Data Science,Data Analytics
15962,6059,8,Data Science,Data Analytics
15964,6060,0,Statistics,Data Analytics
15965,6061,1,DBMS,Data Science
15966,6062,1,Data Science,Data Analytics
15967,6063,9,Data Science,Data Analytics
15968,6064,1,Data Science,Data Analytics
15969,6065,6,Management,Data Analytics
15970,6066,7,Data Science,Data Analytics
15971,6067,8,Data Science,Data Analytics
15974,6068,1,PowerBI,Data Analytics
15978,6069,9,Statistics,Deep Learning
15982,6070,8,DBMS,Data Analytics
15988,6071,10,Data Science,Management
15991,6072,3,Research,Data Analytics
15993,6073,0,Data Science,Data Analytics
15994,6074,0,Statistics,Data Analytics
15996,6075,4,Cloud computing,Data Science
15998,6076,5,Data Science,Data Science
16000,6077,1,Machine Learning,Artificial Intelligence
16003,6078,10,Research,Management
16009,6079,6,Data Science,Data Analytics
16014,6080,3,DBMS,Artificial Intelligence
16016,6081,1,Computer Vision,Data Analytics
16017,6082,6,Data Science,Data Analytics
16021,6083,6,Statistics,Hadoop-Apache
16025,6084,8,Data Science,Artificial Intelligence
16027,6085,6,Data Science,Data Analytics
16028,6086,4,Machine Learning,management
16029,6087,6,Data Science,Research
16036,6088,7,Data Science,Data Analytics
16037,6089,2,Data Science,Artificial Intelligence
16038,6090,4,Data Science,Data Analytics
16040,6091,4,Data Science,Data Analytics
16041,6092,2,Data Science,Data Analytics
16045,6093,2,Data Science,Data Analytics
16046,6094,1,Statistics,Data engineer
16053,6095,9,Data Science,Data Analytics
16055,6096,7,Data Science,Data Science
16057,6097,8,Cloud computing,Hadoop-Apache
16058,6098,2,Data Science,Hadoop-Apache
16059,6099,6,Machine Learning,Data Analytics
16060,6100,6,Data Science,Data Analytics
16061,6101,10,Data Science,Data Analytics
16064,6102,6,Data Science,Data Analytics
16065,6103,8,Research,Data Analytics
16066,6104,7,Data Science,Research
16068,6105,0,Data Science,Data Analytics
16070,6106,2,Data Science,Data Science
16072,6107,3,Data Science,Engineer
16073,6108,8,Engineer,Management
16076,6109,8,Machine Learning,Data Analytics
16078,6110,5,Data Science,Deep Learning
16079,6111,3,Data Science,Data Analytics
16080,6112,9,Machine Learning,Infrastructure
16081,6113,4,Machine Learning,Research
16084,6114,7,Data Science,Data Analytics
16092,6115,5,Data Science,Data Analytics
16096,6116,6,Computer Vision,Software Development
16098,6117,9,Data Science,Data Analytics
16101,6118,6,Data Science,Data engineer
16103,6119,9,Data Science,Artificial Intelligence
16104,6120,1,Statistics,Data Analytics
16105,6121,8,Statistics,Research
16107,6122,7,Data Science,Artificial Intelligence
16110,6123,1,Data Science,Data Analytics
16111,6124,3,Data Science,Data Analytics
16113,6125,5,Data Science,Data Analytics
16114,6126,1,Machine Learning,Data Analytics
16115,6127,4,Statistics,Data Analytics
16121,6128,2,Data Science,Data Analytics
16127,6129,5,Data Science,Management
16132,6130,7,Management,Management
16134,6131,4,Management,Data Analytics
16136,6132,10,Data Science,Data engineer
16138,6133,4,Data Science,Data Analytics
16139,6134,6,Data Science,Data Analytics
16141,6135,2,Data Science,Engineer
16145,6136,9,Data Science,Data Analytics
16150,6137,9,Statistics,Data Analytics
16151,6138,6,Data Science,Data Analytics
16153,6139,5,Data Science,Research
16159,6140,10,Data Science,Data Analytics
16160,6141,9,DBMS,Data Analytics
16162,6142,10,Data Science,Data engineer
16163,6143,4,Machine Learning,Data Analytics
16164,6144,9,Data Science,Data Analytics
16167,6145,2,Data Science,Data Analytics
16168,6146,7,Data Science,Deep Learning
16169,6147,5,Data Science,Data Analytics
16170,6148,7,Data Science,Data Science
16171,6149,7,Data Science,Data Analytics
16173,6150,8,Machine Learning,Data Analytics
16177,6151,8,Data Science,Data Analytics
16178,6152,3,Machine Learning,Data Science
16188,6153,5,Machine Learning,Data Analytics
16191,6154,0,Computer Vision,Data Analytics
16192,6155,9,Data Science,Data Analytics
16193,6156,1,Data Science,Data Analytics
16197,6157,5,Data Science,Engineer
16200,6158,1,Data Science,Data Analytics
16203,6159,4,Research,science and numerics
16204,6160,8,Machine Learning,Data Analytics
16208,6161,5,Management,Data Analytics
16211,6162,5,Data Science,Data Analytics
16215,6163,3,Data Science,Data Analytics
16216,6164,4,Machine Learning,Artificial Intelligence
16217,6165,3,Data Science,Management
16219,6166,9,Research,Machine Learning
16220,6167,2,Data Science,management
16221,6168,5,Data Science,Data Analytics
16223,6169,5,Data Science,Data Analytics
16224,6170,4,Machine Learning,Data Analytics
16225,6171,2,Data Science,Artificial Intelligence
16228,6172,4,Statistics,Artificial Intelligence
16232,6173,1,Data Science,Data engineer
16236,6174,2,Research,Data Analytics
16237,6175,3,Machine Learning,Data Analytics
16238,6176,6,Data Science,Software Development
16243,6177,7,Data Science,Data Analytics
16245,6178,10,DBMS,Data Analytics
16248,6179,5,Data Science,Data Science
16249,6180,5,Machine Learning,Data Analytics
16253,6181,10,Research,science and numerics
16254,6182,9,Statistics,Data Analytics
16257,6183,4,DBMS,Data Analytics
16264,6184,2,Machine Learning,Data Analytics
16266,6185,6,Executive,Research
16267,6186,0,Machine Learning,Data Analytics
16269,6187,4,Executive,Artificial Intelligence
16271,6188,7,Data Science,Artificial Intelligence
16278,6189,2,Data Science,Data Analytics
16281,6190,2,Finance,Software Development
16282,6191,5,PowerBI,Data Analytics
16283,6192,2,Finance,Data Analytics
16284,6193,10,Data Science,Data Analytics
16285,6194,3,Data Science,Data Analytics
16286,6195,8,Machine Learning,Data Analytics
16294,6196,7,Data Science,science and numerics
16298,6197,9,Data Science,Data Analytics
16300,6198,0,Data Science,Data Analytics
16304,6199,10,DBMS,Data Analytics
16314,6200,0,Finance,Data Science
16316,6201,7,Data Science,Artificial Intelligence
16317,6202,4,Data Science,Engineer
16318,6203,6,Machine Learning,management
16319,6204,7,Data Science,Data Analytics
16320,6205,8,Data Science,Data Analytics
16323,6206,4,Data Science,Data Science
16324,6207,5,Executive,Data Analytics
16328,6208,9,Data Science,Data Analytics
16333,6209,4,Machine Learning,Data Analytics
16334,6210,8,Data Science,Data Analytics
16335,6211,8,Data Science,Data Analytics
16339,6212,10,Statistics,Data Analytics
16341,6213,0,Data Science,Data Analytics
16342,6214,6,Data Science,Data Analytics
16343,6215,2,Machine Learning,Data Analytics
16344,6216,3,Data Science,Software Development
16350,6217,8,Data Science,Data Analytics
16352,6218,4,Data Science,Artificial Intelligence
16354,6219,7,Data Science,Research
16355,6220,9,Machine Learning,Data Analytics
16359,6221,10,PowerBI,Data Analytics
16363,6222,1,Statistics,Management
16364,6223,2,Computer Vision,science and numerics
16365,6224,8,Statistics,Data Analytics
16366,6225,8,Data Science,Data Analytics
16367,6226,3,Machine Learning,Hadoop-Apache
16369,6227,3,Data Science,Data Analytics
16370,6228,7,Data Science,Data Analytics
16373,6229,5,Machine Learning,science and numerics
16374,6230,3,Data Science,Data Analytics
16376,6231,5,Data Science,Research
16382,6232,5,Data Science,Infrastructure
16383,6233,10,Data Science,Data Analytics
16384,6234,5,Statistics,Data Analytics
16385,6235,3,PowerBI,Research
16387,6236,7,Executive,Data Analytics
16389,6237,4,Data Science,Data engineer
16391,6238,9,Management,Data Analytics
16393,6239,1,Machine Learning,Data Analytics
16396,6240,0,Statistics,Data Analytics
16402,6241,2,Machine Learning,Data Analytics
16404,6242,0,PowerBI,Software Development
16408,6243,8,Data Science,Hadoop-Apache
16409,6244,4,Data Science,Engineer
16410,6245,6,Data Science,Data Analytics
16411,6246,4,Management,Data Analytics
16412,6247,1,Data Science,Management
16414,6248,4,Data Science,Data Analytics
16417,6249,8,Executive,Data Analytics
16419,6250,2,Data Science,Data Science
16421,6251,3,Data Science,science and numerics
16423,6252,0,Data Science,Hadoop-Apache
16424,6253,0,Data Science,Data Analytics
16425,6254,5,PowerBI,Data Analytics
16426,6255,9,Data Science,Management
16428,6256,10,Executive,Data Analytics
16429,6257,9,PowerBI,Data Analytics
16431,6258,8,Data Science,Data Analytics
16436,6259,0,Data Science,Data Analytics
16438,6260,4,Data Science,Data Analytics
16439,6261,0,Finance,Management
16441,6262,8,Data Science,Data Analytics
16442,6263,2,Applied Science,Data Analytics
16443,6264,8,Machine Learning,Data Analytics
16444,6265,2,Data Science,science and numerics
16445,6266,10,Data engineer,Data Analytics
16447,6267,6,Data Science,Data Analytics
16449,6268,0,Statistics,Artificial Intelligence
16450,6269,2,Executive,Management
16453,6270,1,Machine Learning,science and numerics
16454,6271,10,Data Science,Data Analytics
16455,6272,6,Computer Vision,Data Analytics
16459,6273,7,Management,science and numerics
16460,6274,0,Statistics,Management
16461,6275,3,Data Science,Data Analytics
16463,6276,7,Data Science,Data Analytics
16466,6277,3,Data Science,Data Analytics
16472,6278,5,Executive,Data Analytics
16473,6279,2,Data Science,Data Analytics
16476,6280,10,Data Science,Data Analytics
16478,6281,1,Machine Learning,Data Analytics
16480,6282,10,Data Science,Data engineer
16481,6283,4,Data Science,Data Analytics
16482,6284,6,Artificial intelligence,Data Analytics
16484,6285,2,Machine Learning,Data Analytics
16485,6286,7,Management,Management
16487,6287,9,Data Science,Data Analytics
16491,6288,1,Executive,Data Analytics
16492,6289,8,Machine Learning,Data Analytics
16493,6290,5,Data Science,Data Analytics
16495,6291,1,Data Science,Management
16497,6292,7,Statistics,Data Analytics
16499,6293,3,Statistics,Data Analytics
16501,6294,0,Data Science,Data engineer
16504,6295,9,Data Science,Hadoop-Apache
16505,6296,9,Data Science,Data engineer
16507,6297,6,Data Science,Data Analytics
16508,6298,8,Data Science,Artificial Intelligence
16509,6299,5,Data Science,Data Analytics
16510,6300,10,Machine Learning,Data Analytics
16511,6301,0,Machine Learning,Artificial Intelligence
16512,6302,6,Computer Vision,Data Analytics
16514,6303,0,Data Science,Data Science
16516,6304,4,Data Science,Data Science
16517,6305,5,Data Science,Management
16518,6306,7,Data Science,Data engineer
16519,6307,6,Management,science and numerics
16520,6308,3,Machine Learning,Management
16521,6309,1,Statistics,Data Analytics
16522,6310,10,Data Science,Management
16528,6311,7,Data Science,Data Analytics
16529,6312,9,Data Science,Data Analytics
16530,6313,7,Machine Learning,management
16532,6314,7,Machine Learning,Data Analytics
16533,6315,9,Executive,Data Analytics
16537,6316,0,Management,Data Analytics
16540,6317,5,Data Science,Data Analytics
16542,6318,8,Machine Learning,Data Analytics
16543,6319,1,Applied Science,Data Science
16544,6320,8,Computer Vision,Data Analytics
16546,6321,10,Machine Learning,Data Analytics
16547,6322,0,Data Science,Data Analytics
16548,6323,5,Data Science,Data Analytics
16550,6324,4,Data Science,Data Analytics
16551,6325,7,Data Science,Artificial Intelligence
16554,6326,2,Data Science,Data Analytics
16556,6327,6,Statistics,Data Analytics
16560,6328,1,Data Science,Data Analytics
16564,6329,8,Data Science,Data Analytics
16565,6330,10,Machine Learning,Data Analytics
16567,6331,0,Data Science,Data Science
16568,6332,3,Data Science,Data Analytics
16569,6333,9,Data Science,Data engineer
16570,6334,9,PowerBI,Data Analytics
16575,6335,5,Executive,Artificial Intelligence
16577,6336,4,Data Science,Data Analytics
16581,6337,4,Data Science,Data Analytics
16583,6338,5,PowerBI,Data Analytics
16584,6339,5,Data Science,Data Analytics
16586,6340,6,Data Science,Machine Learning
16588,6341,10,Machine Learning,Data Analytics
16590,6342,2,PowerBI,Data Analytics
16592,6343,10,PowerBI,Data Analytics
16598,6344,4,Data Science,Data Analytics
16599,6345,3,Statistics,Management
16600,6346,1,PowerBI,Data Analytics
16602,6347,8,Data Science,Data Analytics
16603,6348,7,Research,Data Analytics
16604,6349,10,Machine Learning,Data Analytics
16606,6350,2,Artificial intelligence,Data Analytics
16608,6351,0,Management,Management
16609,6352,5,Data Science,Data Analytics
16610,6353,8,Statistics,Data Analytics
16613,6354,10,Data Science,science and numerics
16614,6355,6,Data Science,Data Analytics
16616,6356,2,Statistics,Data Analytics
16625,6357,10,Data engineer,Engineer
16626,6358,4,Executive,Data Analytics
16627,6359,4,Data Science,Data Analytics
16636,6360,3,Data Science,Infrastructure
16637,6361,8,Data Science,Data Analytics
16638,6362,9,Data Science,Data Analytics
16640,6363,1,Executive,Data Analytics
16643,6364,3,Data Science,Management
16644,6365,9,Research,Data Analytics
16647,6366,9,Data Science,Data engineer
16648,6367,0,Data Science,Deep Learning
16649,6368,9,Executive,Data Analytics
16651,6369,4,Statistics,Data Analytics
16654,6370,4,Data Science,Data Analytics
16655,6371,4,Data Science,Data Analytics
16656,6372,0,Executive,Data Analytics
16661,6373,0,Data Science,Research
16663,6374,9,Machine Learning,Data Analytics
16665,6375,6,Data Science,Hadoop-Apache
16668,6376,1,PowerBI,Data Analytics
16669,6377,0,Data Science,Data Analytics
16670,6378,1,Machine Learning,Data Analytics
16671,6379,4,Data Science,Data engineer
16672,6380,5,Data Science,Research
16673,6381,2,Artificial intelligence,Artificial Intelligence
16679,6382,1,Data Science,Hadoop-Apache
